Threads of a process:

$ ps -mo THREAD -p 28771346

    USER      PID     PPID       TID ST  CP PRI SC    WCHAN        F     TT BND COMMAND
  myuser 28771346        1         - A   45  60 46        *   240001  pts/1  -1 /home/myuser/bin/myappexe
       -        -        -  24051973 S    0  60  1 1100010c0   c10400      -  -1 -
       -        -        -  25035103 S    1  60  1 f1000c03f3c8d0c0   410400      -  -1 -
       -        -        -  33227187 S    5  62  1 f1000c03f03ca640   410400      -  -1 -
       -        -        -  34996527 S    0  60  1 f1000c03f03fdfb0   410400      -  -1 -
       -        -        -  37356021 S    6  62  1 f1000c03f3c86a40   410400      -  -1 -
       -        -        -  45285867 S    1  60  1 f1000c03f3c8f340   410400      -  -1 -
       -        -        -  48628179 S    1  60  1 f1000c03f3c83dc0   410400      -  -1 -
       -        -        -  49152393 S    0  60  1 f1000c03f03f7ab0   410400      -  -1 -
       -        -        -  51249663 S    0  60  1 f1000c03f390e9b0   410400      -  -1 -
       -        -        -  51773837 S    1  60  1 f1000c03f03ca3c0   410400      -  -1 -
