http://yong321.freeshell.org/computer/oraclebin.html

Oracle Executables

This table lists executable programs in $ORACLE_HOME/bin (or %ORACLE_HOME%\bin on Windows) for Oracle Enterprise Edition, including shell scripts, Windows .bat files but excluding Windows DLLs or any that can't execute directly. It's not a complete list since what programs are in that directory depends on what options I chose at the time of software installation. I'm doing my best to give descriptions about each program and add some comments I consider useful or merely interesting. Many of them show Usage by typing the program name, or the name followed by some garbage argument, or -h, or sometimes help=y. "Not in 9i" means not in 9i and up (i.e. only in 8i). Files of 0 in size are ignored, such as tnnfg, trcldr (not any more in 12.1.0.2), plus those whose names end with 0 or O.

[2014-09 Update] Added 12.1.0.2 new binaries
[2013-09 Update] Added 12.1.0.1 new binaries
[2011-11 Update] Added 11.2.0.3 new binaries
[2010-01,2011-02 Update] 11g and up binaries are in separate tables: 11g

Legend 
`: Only exists on UNIX
*: Only exists on Windows
Program	Name	Notes
acro*	 	Not in 9i
adapters`		Running with no argument returns info about installed Oracle Net (SQL*Net) adapters. Running with path to an Oracle binary file (oracle, sqlplus,...) shows whether the binary has Oracle Net symbols in it.
agent*		Possibly used in SNMP
agentctl		Oracle%oracle_home%Agent service Control (not in 10g)
agntsvc*		Oracle%oracle_home%Agent service, used by EM
agtctl	(Oracle Heterogeneous Services) Agent Control Utility	See ORA-28591
asmtool		10g only
asmtoolg		GUI version of ASM tool
bbed*	Block Browser and Editor	Oracle internal use only. Not in 9i. On UNIX, you have to make it. Ref: 1, 2, 3.
bulkmodify		See Oracle Internet Directory Administrator's Guide, Appendix A "Syntax for LDIF and Command Line Tools". Not in 10g
cemutls		10g
cfo*	Configure FAN ONS	FAN ONS Publisher program, 10.2.0.3 and later (see Note:405120.1)
clscfg		10g
clsfmt		10g
cmadmin`		Not in 9i
cmctl`		Not in 9i
cmgw`		Not in 9i
coraenv`	Oracle Environment C Shell	csh script to set up Ora Env; csh version of oraenv
crsctl, crssetup	Cluster Ready Services Control and Setup utilities	10g
csscan	Character Set Scanner	Not in 12c
ctxhx*		Called by intermedia server
ctxkbtc	Context Knowledge Base exTension Compiler	Oracle Text Executable
ctxlc	Lexical Compiler	See above. 10g
ctxload	Thesaurus Loader	See above
ctxsrv	Intermedia server	Not in 10g
ctxsvc*	Intermedia service	Not in 10g
cursize`	Cursor Size	cursize username/password
dbca, dbca.bat	Database Config Assistant	Used to create and configure a database (called dbassist in 8i)
DBConsole.pm		Perl Module to provide start, stop, status functionality (10g)
dbfmig`		
dbfsize`	Database File Size Info	If run on redo logfiles, also reports redo block size (the same value as x$kccle.lebsz or if in archivelog mode, v$archived_log.block_size). Run on controlfiles, it also reports controlfile block size. dbfsize also tells you whether the file is filesystem or raw partition based (Quick I/O reported as raw). Not ASM aware.
dbhome`		
dbma.bat		10g
dbshut`	Database Shutdown Script	
dbsnmp	Database Intelligent (SNMP) Agent	According to marty.grinstead at oracle.com, "spawned when the IA is running a scheduled job". If the agent is not configured correctly, running it causes database shutdown immediate to hang. Not in 10g
